Text,Parent items,用途/细节描述,开发评估
查看管理用户,,,
查看用户信息,查看管理用户,,
用户个人信息,查看用户信息,查看用户信息完整度,
用户内容管理,查看用户信息,查看用户发布的内容，关联审核,
用户团队管理,查看用户信息,查看用户所在的团队及身份，关联赛规检测,
用户参加活动信息,查看用户信息,用户报名了哪些活动，参加活动的状态如何，关联赛规检测,
用户活跃情况,查看管理用户,,
用户点赞，被点赞数据,用户活跃情况,用于一些活动的数据统计，热度排名，以及判断用户活跃度,
用户评论数据,用户活跃情况,用以一些活动内容数据，以及判断用户活跃度,
用户任务完成情况,用户活跃情况,判断用户参加活动的完成情况，判断用户活跃度,
用户资产使用情况,用户活跃情况,最好能查看用户是否合规使用系统发放的资产，资产使用详情，以及一些活动会获得和使用资产，能够判断用户的这些资产反别是那里获得的，在那些活动中有使用,
用户关注，好友，收藏列表,用户活跃情况,囊狗分析用户关注了哪些内容，对什么活动感兴趣，是否有意向加入小队，加入校队流程如何,
用户内容管理,查看管理用户,,
用户提案内容审核管理,用户内容管理,提案内容是否完整合规，是否可以用于比赛活动评审，关联比赛评分环节,
用户创作内容是否符合著作权,用户内容管理,关联提案中文件的流转,
用户举报机制（目前交流只有小助手）,查看管理用户,,
运营行为,,,
系统页面展示,运营行为,,
首页海报展示,系统页面展示,能够管理主页显示内容,
官方帖子展示,系统页面展示,能够选择首页展示的帖子,
星球页活动发布,系统页面展示,能够在星球主页发布活动，关联果冻状态管理,
帖子页面中的帖子审核管理,系统页面展示,发现违规内容可以下架，关联审核机制,
设置多功能栏日历信息,系统页面展示,关联活动状态修改，把活动信息放在首页露出,
活动管理,运营行为,,
调整目前在页面的活动状态（即将开始，进行中，已结束）,活动管理,活动进行到什么阶段了在星球的活动卡片和活动页面中标出,
设置活动时间表（进行中的活动现在在哪个阶段）,活动管理,同上，关联多功能区日历,
查看参加活动的队伍信息,活动管理,关联报名流转规则审核,
查看参加活动的提案信息,活动管理,关联报名&提案流转,
活动流程管理,运营行为,,
淘汰&晋级队伍标注管理,活动流程管理,确认哪些队伍晋级/淘汰，淘汰的提案,
阶段晋级检测,活动流程管理,是否符合晋级标准,
提案内文件是否符合赛规中进入下一赛段要求,阶段晋级检测,后期是否可以加入ai自动判断是否符合标准，筛选出符合的再进一步打分等,
评审打分功能,活动流程管理,是否能够做到ai自动打分，自动评论并阅读评论（滴水湖半决赛做的评论回复）,
赛规插入&违规管理,活动流程管理,系统能否根据之前手机的用户信息判断是否违规,
根据赛规筛选队伍（队伍人数，团队提案，队伍成员信息）,赛规插入&违规管理,之前用户，活动数据整合,
违规提醒运营&选手（人数不满，没有提案，队伍中有重复参加的人）,赛规插入&违规管理,通过整合的数据和运营同宫的规则判断队伍是否合规,
审核&举报处理,运营行为,,
新功能相关,,,
企业出题/悬赏,新功能相关,后续悬赏相关数据和规则接入,
